,origin_puma,dest_puma,od_counts
191,17_3102,17_3102,15366
192,17_3102,17_3105,15350
193,17_3102,17_3106,9733
194,17_3102,17_3107,5971
195,17_3102,17_3108,3712
196,17_3102,17_3202,8796
197,17_3102,17_3203,10011
198,17_3102,17_3204,22890
199,17_3102,17_3205,17303
200,17_3102,17_3207,8609
201,17_3102,17_3208,4869
202,17_3102,17_3209,12939
203,17_3102,17_3308,1
204,17_3102,17_3401,268
205,17_3102,17_3407,10328
206,17_3102,17_3408,1140
207,17_3102,17_3409,7215
208,17_3102,17_3410,4714
209,17_3102,17_3411,1909
210,17_3102,17_3412,5506
211,17_3102,17_3413,7650
212,17_3102,17_3414,10334
213,17_3102,17_3415,90
214,17_3102,17_3416,27
215,17_3102,17_3417,1048
216,17_3102,17_3418,1261
217,17_3102,17_3419,2070
218,17_3102,17_3420,3001
219,17_3102,17_3421,646
220,17_3102,17_3422,7172
221,17_3102,17_3502,13
222,17_3102,17_3503,240
223,17_3102,17_3504,1541
224,17_3102,17_3520,3446
225,17_3102,17_3521,2411
226,17_3102,17_3522,1084
227,17_3102,17_3523,743
228,17_3102,17_3524,548
229,17_3102,17_3525,217
230,17_3102,17_3526,478
231,17_3102,17_3527,637
232,17_3102,17_3528,160
233,17_3102,17_3529,214
234,17_3102,17_3530,738
235,17_3102,17_3531,913
236,17_3102,17_3532,2179
237,17_3102,17_3602,1
238,17_3102,17_3700,10778
239,17_3105,17_3005,14388
240,17_3105,17_3007,5210
241,17_3105,17_3008,1307
242,17_3105,17_3009,4026
243,17_3105,17_3102,8752
244,17_3105,17_3105,11869
245,17_3105,17_3106,12074
246,17_3105,17_3107,4050
247,17_3105,17_3108,752
248,17_3105,17_3202,16936
249,17_3105,17_3203,14695
250,17_3105,17_3204,26068
251,17_3105,17_3205,28431
252,17_3105,17_3207,15373
253,17_3105,17_3208,10841
254,17_3105,17_3209,16991
255,17_3105,17_3308,143
256,17_3105,17_3310,191
257,17_3105,17_3401,1058
258,17_3105,17_3407,14724
259,17_3105,17_3408,601
260,17_3105,17_3409,6074
261,17_3105,17_3410,4578
262,17_3105,17_3411,415
263,17_3105,17_3412,182
264,17_3105,17_3413,140
265,17_3105,17_3414,109
266,17_3105,17_3415,975
267,17_3105,17_3416,941
268,17_3105,17_3417,1818
269,17_3105,17_3418,3251
270,17_3105,17_3419,5236
271,17_3105,17_3420,6039
272,17_3105,17_3421,1915
273,17_3105,17_3422,10110
274,17_3105,17_3501,1
275,17_3105,17_3502,9
276,17_3105,17_3503,368
277,17_3105,17_3504,1528
278,17_3105,17_3520,3174
279,17_3105,17_3521,1611
280,17_3105,17_3522,688
281,17_3105,17_3523,173
282,17_3105,17_3524,179
283,17_3105,17_3525,142
284,17_3105,17_3526,42
285,17_3105,17_3527,44
286,17_3105,17_3528,1
287,17_3105,17_3530,40
288,17_3105,17_3531,1
289,17_3105,17_3601,32
290,17_3105,17_3602,175
291,17_3105,17_3700,7333
292,17_3106,17_3005,8911
293,17_3106,17_3007,5877
294,17_3106,17_3008,1262
295,17_3106,17_3009,2810
296,17_3106,17_3102,6060
297,17_3106,17_3105,11012
298,17_3106,17_3106,16112
299,17_3106,17_3107,3786
300,17_3106,17_3108,664
301,17_3106,17_3202,30639
302,17_3106,17_3203,21914
303,17_3106,17_3204,20638
304,17_3106,17_3205,34608
305,17_3106,17_3207,22986
306,17_3106,17_3208,17974
307,17_3106,17_3209,27221
308,17_3106,17_3308,635
309,17_3106,17_3309,65
310,17_3106,17_3310,1174
311,17_3106,17_3401,1646
312,17_3106,17_3407,13576
313,17_3106,17_3408,379
314,17_3106,17_3409,4236
315,17_3106,17_3410,4509
316,17_3106,17_3411,425
317,17_3106,17_3412,110
318,17_3106,17_3413,66
319,17_3106,17_3414,131
320,17_3106,17_3415,1786
321,17_3106,17_3416,3299
322,17_3106,17_3417,3247
323,17_3106,17_3418,4809
324,17_3106,17_3419,8036
325,17_3106,17_3420,7856
326,17_3106,17_3421,3290
327,17_3106,17_3422,12834
